path,source_git_blob,handover_git_blob,difference
Original/shape_reconstruction/_1_Camera_Calibration.py,1984bc06794b8ec53d9c2bab857ac9c7f012e4b7,0fab9e8eaa430992e83b1c6f4512b3fd9d26a12e,CRLF-only; LF-normalized blob equals source
Original/shape_reconstruction/_2_Sensor_Calibration.py,ecd3e36111535dffe7af460dbf78caeee85883cc,586aa23d420a3d3ca0896e649d72c869b54669b6,CRLF-only; LF-normalized blob equals source
Original/shape_reconstruction/_3_Shape_Reconstruction.py,328e2d460464e3130278b5c0e4aeffdc9d598b64,f60c964498efdf3a6197028ce934f5e306638268,CRLF-only; LF-normalized blob equals source
Original/shape_reconstruction/__init__.py,d0f21f89c8ba1af81c529124fc259062b61064d2,cef98247cf0ab9ad13c797c6c0d725587955fcc7,CRLF-only; LF-normalized blob equals source
Original/shape_reconstruction/camera.py,bbd593f1239a7b85422359c2b48619f4c62f3d0d,16b57b998b076a801273fbaccb45eb0e19296a34,CRLF-only; LF-normalized blob equals source
Original/shape_reconstruction/sensor.py,140916157813dd313e7bb69b022ba7ec4b12d365,d323bbc6561db735a19f29055408d26cf8191a7a,CRLF-only; LF-normalized blob equals source
Original/shape_reconstruction/sensor_obj/black_base.obj,19f0a44cc625c133898f598bfc908d6c3571b84b,d9145f74d423096f800f1a16f2a12101cbbbe6ad,CRLF-only; LF-normalized blob equals source
Original/shape_reconstruction/sensor_obj/black_contact.obj,d6be42e574cdf0da2e6e159e1f647d562a906265,945e57bacb97be522d56ad88b516d6d4f99c1f8b,CRLF-only; LF-normalized blob equals source
Original/shape_reconstruction/sensor_obj/white_shell.obj,86b21e44daaf639da8678b5a84c184a06ce19bc1,3b05f8e251d77486a376d676fe681036739f9423,CRLF-only; LF-normalized blob equals source
Original/shape_reconstruction/shape_config.yaml,4667eb74ba9fee5342f9a609517a0132233e81ce,92cfa3d304870d2a1896213076f3de3812f1f553,CRLF-only; LF-normalized blob equals source
Original/shape_reconstruction/visualizer.py,86ba947202253c4c259df8aba54a30363ff635da,65df763d4ff29965ddd36a8aed287a2db8b48d7f,CRLF-only; LF-normalized blob equals source
SUBMISSION_MANIFEST.csv,84a4f2e07205f6a6782560a4f649b747fc971416,d940a5d4058a9cd3ff28fe53c1eed2ee640e7ad5,Same 296 paths; size/SHA256 updated for the 90 CRLF files
custom_9dtact/pyproject.toml,642ab3ceb470893efe245a66c0012dacb2cf1674,42a718b6d4b4d4efe71fa0979bc43e166527365a,CRLF-only; LF-normalized blob equals source
custom_9dtact/requirements-core.txt,c9654f3f54ac17addef9ff7186244da337fbf370,aa4a52bd633b247930a0ae2447783b7530e55f90,CRLF-only; LF-normalized blob equals source
custom_9dtact/requirements-pytorch.txt,1f8a6f91cf98e880d429ffb492a9195351e71f93,421f6fa4908ff7cd102521fd2eaef71dab4c3793,CRLF-only; LF-normalized blob equals source
custom_9dtact/requirements-training.txt,6aa5b13a890213602b971c5865c2749f650dff45,dc1ca66a13f002cb6c13be6c77e07a8c60031e1d,CRLF-only; LF-normalized blob equals source
custom_9dtact/requirements.txt,c795a45dbc49de5260a8baed753f768c25a1ab64,fd74466d320b21e9c474feb1985c99abc644501f,CRLF-only; LF-normalized blob equals source
custom_9dtact/ros_ws/src/9dtact_ft300_ros/CMakeLists.txt,af4e36380b6c19470787d5a4b75aea2c889d78c1,c81733769a55eabbdf1b46257b3a6d94f99a5a5d,CRLF-only; LF-normalized blob equals source
custom_9dtact/ros_ws/src/9dtact_ft300_ros/launch/compare_prediction_with_ft300.launch,db8fc07f832ea72cd034011245b635671e11df1c,52256d3272b6e24493568046e0617cdb15283543,CRLF-only; LF-normalized blob equals source
custom_9dtact/ros_ws/src/9dtact_ft300_ros/launch/force_estimation.launch,c6ba3031ab76af9a01b6902d7e0cb0e25535b9d9,29788fb6fe875c2aedfef6e08f1dc74af1b82151,CRLF-only; LF-normalized blob equals source
custom_9dtact/ros_ws/src/9dtact_ft300_ros/launch/ft300_collection.launch,d2bb77dabcacc14da3ed4e3525d2d9daace894b2,0edd694b8e89cdff9fff0e8576fc951d7e1dcbde,CRLF-only; LF-normalized blob equals source
custom_9dtact/ros_ws/src/9dtact_ft300_ros/launch/sensor1_shape.launch,8ec681665e949e69a0b3ded138098551f22ea884,c9961095491e8b231ab99880eaddee279bae6095,CRLF-only; LF-normalized blob equals source
custom_9dtact/ros_ws/src/9dtact_ft300_ros/launch/sensor2_shape.launch,aa7163eaf96f24f69dff802c54d31c6e32cd02cc,73c6a84ad6b58d1b3bb4d35995967d17c1582636,CRLF-only; LF-normalized blob equals source
custom_9dtact/ros_ws/src/9dtact_ft300_ros/launch/shape_force_demo.launch,c71c27d52a01e4ef14762e669ffe8eab1b6eae3c,fa1950c000dad01497258b405b2448eb0041d644,CRLF-only; LF-normalized blob equals source
custom_9dtact/ros_ws/src/9dtact_ft300_ros/package.xml,66dee71b41054faff9b1ccd9d6939d64ad5fbbf4,9e012362abba0cf6be89d2ad78f159b6d8cd84da,CRLF-only; LF-normalized blob equals source
custom_9dtact/ros_ws/src/CMakeLists.txt,c91701d85884c65fad9f124dd37e4dd143af7427,19b530e513e32177282217779a2e51f6254da658,CRLF-only; LF-normalized blob equals source
custom_9dtact/shape_reconstruction/calibration/sensor_1/camera_calibration/.gitkeep,8b137891791fe96927ad78e64b0aad7bded08bdc,d3f5a12faa99758192ecc4ed3fc22c9249232e86,CRLF-only; LF-normalized blob equals source
custom_9dtact/shape_reconstruction/calibration/sensor_1/depth_calibration/.gitkeep,8b137891791fe96927ad78e64b0aad7bded08bdc,d3f5a12faa99758192ecc4ed3fc22c9249232e86,CRLF-only; LF-normalized blob equals source
custom_9dtact/shape_reconstruction/calibration/sensor_2/camera_calibration/.gitkeep,8b137891791fe96927ad78e64b0aad7bded08bdc,d3f5a12faa99758192ecc4ed3fc22c9249232e86,CRLF-only; LF-normalized blob equals source
custom_9dtact/shape_reconstruction/calibration/sensor_2/camera_calibration/manual_points.csv,8c4bbaabf5d916b9fe1ca9f09cc9245c72110b28,a164da0f5d10f9ced01cd12fee4449362178271e,CRLF-only; LF-normalized blob equals source
custom_9dtact/shape_reconstruction/calibration/sensor_2/depth_calibration/.gitkeep,8b137891791fe96927ad78e64b0aad7bded08bdc,d3f5a12faa99758192ecc4ed3fc22c9249232e86,CRLF-only; LF-normalized blob equals source
custom_9dtact/shape_reconstruction/sensor_obj/black_base.obj,19f0a44cc625c133898f598bfc908d6c3571b84b,d9145f74d423096f800f1a16f2a12101cbbbe6ad,CRLF-only; LF-normalized blob equals source
custom_9dtact/shape_reconstruction/sensor_obj/black_contact.obj,d6be42e574cdf0da2e6e159e1f647d562a906265,945e57bacb97be522d56ad88b516d6d4f99c1f8b,CRLF-only; LF-normalized blob equals source
custom_9dtact/shape_reconstruction/sensor_obj/white_shell.obj,86b21e44daaf639da8678b5a84c184a06ce19bc1,3b05f8e251d77486a376d676fe681036739f9423,CRLF-only; LF-normalized blob equals source
custom_9dtact/tools/activate_sensor_1.ps1,68037e7df0ef2e6fdc82ffdbb4b327f243227b4d,77942432516b71538e07b598302b623d7aaf7d4f,CRLF-only; LF-normalized blob equals source
custom_9dtact/tools/activate_sensor_2.ps1,cd5438b0e5aa5912f35341984b47e2f726d5853f,2375edf33b8676a4a7be68024fddfa68f220ee47,CRLF-only; LF-normalized blob equals source
docs/archive/migration/ORIGINAL_MANIFEST_AFTER.csv,a5f69519e5f7f0d13f98f7e16a8f1bae9e1e927f,31a182012b7ddc7f8eaa41630246f9c891d357fb,CRLF-only; LF-normalized blob equals source
docs/archive/migration/ORIGINAL_MANIFEST_BEFORE.csv,a5f69519e5f7f0d13f98f7e16a8f1bae9e1e927f,31a182012b7ddc7f8eaa41630246f9c891d357fb,CRLF-only; LF-normalized blob equals source
